ANCIENNETE,REVENU_MENSUEL,NB_AFFAIRE,nbr_aff_payante,nbr_aff_gratuite,NB_RPA,NB_AFFAIRE_PP,NB_AFFAIRE_AUTO,NB_AFFAIRE_EDM,NB_aff_digital,NB_CPL,TYPE_CLIENT,CSP_MKT,PHASE_RELATION
81,4565.793186418448,8,9,2,0,4,4,2,2,3,ACTIF,ETUDIANT,RISQUE
164,4032.4240524292723,8,0,4,3,6,1,3,2,0,INACTIF,ETUDIANT,RISQUE
50,5572.126782939255,5,7,3,2,4,1,0,2,1,INACTIF,OUVRIER,RISQUE
104,6195.060752316149,5,1,2,0,4,4,1,1,3,ACTIF,CADRE,NOUVEAU
132,7827.017535909974,8,2,4,2,5,1,4,2,2,ACTIF,OUVRIER,NOUVEAU
2,6030.311054597775,5,4,2,4,1,0,1,0,3,ACTIF,ETUDIANT,NOUVEAU
134,6783.861069923102,4,5,2,0,0,1,4,1,1,INACTIF,OUVRIER,RISQUE
54,6806.566346499076,3,6,1,1,2,0,4,0,3,INACTIF,ETUDIANT,NOUVEAU
106,10875.06873139392,7,3,0,4,0,1,3,1,1,INACTIF,CADRE,RISQUE
4,1879.9351934548417,4,2,0,4,2,2,4,0,0,ACTIF,OUVRIER,NOUVEAU
54,4124.132266325644,4,8,0,0,0,2,2,2,1,INACTIF,OUVRIER,NOUVEAU
221,8448.11210497616,5,3,2,1,0,2,2,0,2,ACTIF,OUVRIER,NOUVEAU
191,4795.973850293052,3,8,3,2,1,0,3,0,3,INACTIF,CADRE,NOUVEAU
146,7271.606275203439,5,8,0,1,4,0,1,0,3,ACTIF,CADRE,FIDELISE
218,5960.019047525673,4,2,3,4,6,3,1,1,2,INACTIF,OUVRIER,NOUVEAU
44,9710.404802416022,6,2,4,0,4,3,1,2,1,ACTIF,OUVRIER,FIDELISE
162,3273.891145872576,5,7,0,1,4,1,1,2,3,INACTIF,OUVRIER,RISQUE
202,7943.601105037626,5,0,2,1,6,0,2,0,3,ACTIF,ETUDIANT,RISQUE
190,8999.162610544998,2,5,1,4,4,2,2,0,1,INACTIF,ETUDIANT,FIDELISE
228,3471.1622456640007,5,5,2,2,0,2,3,1,1,ACTIF,ETUDIANT,RISQUE
14,7065.740487162693,3,8,3,1,4,2,3,0,1,INACTIF,CADRE,NOUVEAU
95,3569.0040283418884,3,1,4,1,0,1,3,0,3,INACTIF,OUVRIER,FIDELISE
48,5560.32314507025,5,7,2,3,2,0,1,0,2,ACTIF,ETUDIANT,FIDELISE
15,4986.8241396356525,4,6,1,4,3,1,1,1,2,ACTIF,OUVRIER,RISQUE
200,1000.0,3,1,1,3,6,4,2,0,0,INACTIF,CADRE,RISQUE
206,6348.468519423797,4,0,4,4,6,4,2,0,1,INACTIF,ETUDIANT,FIDELISE
215,5786.678335212462,2,3,0,4,3,3,0,0,2,ACTIF,OUVRIER,RISQUE
190,8458.15794681152,6,1,2,3,2,0,0,1,1,INACTIF,CADRE,FIDELISE
40,6722.287309299085,7,2,2,2,0,2,1,1,3,INACTIF,CADRE,FIDELISE
213,10081.767848157524,3,1,1,2,6,0,2,2,2,ACTIF,ETUDIANT,FIDELISE
208,5714.084764157427,5,8,3,4,4,3,1,1,3,INACTIF,CADRE,NOUVEAU
237,5288.939895995385,4,3,2,3,1,2,4,2,0,ACTIF,CADRE,NOUVEAU
82,5131.286698565808,6,0,1,1,0,1,0,2,2,ACTIF,ETUDIANT,RISQUE
111,4620.822577936453,6,7,3,4,0,2,3,0,2,ACTIF,OUVRIER,FIDELISE
53,1084.4981672348622,2,3,0,4,6,4,1,2,0,INACTIF,CADRE,RISQUE
24,5059.610745984085,2,9,0,0,2,1,4,0,1,INACTIF,OUVRIER,NOUVEAU
154,1364.2905471280155,5,7,1,2,2,2,3,1,2,INACTIF,OUVRIER,RISQUE
217,6404.066689171537,2,7,1,3,1,1,4,1,0,INACTIF,OUVRIER,FIDELISE
188,3019.8794150588315,7,8,0,1,7,4,2,2,3,ACTIF,ETUDIANT,FIDELISE
124,3711.3347538231606,4,9,1,1,4,4,2,0,0,ACTIF,CADRE,NOUVEAU
237,4161.179610334897,5,6,4,4,3,0,2,2,3,INACTIF,ETUDIANT,FIDELISE
41,5090.129924373509,7,3,2,1,7,4,3,2,0,ACTIF,OUVRIER,RISQUE
157,5513.736509878074,5,1,4,1,5,4,3,1,2,INACTIF,CADRE,FIDELISE
15,7668.959166146142,7,5,3,4,4,4,2,2,1,INACTIF,OUVRIER,NOUVEAU
45,4344.939812984892,1,3,1,2,4,3,3,0,2,ACTIF,OUVRIER,FIDELISE
65,6460.292272444739,3,5,1,0,5,4,2,1,2,INACTIF,ETUDIANT,NOUVEAU
89,10961.734466447135,4,7,3,2,5,0,1,1,3,ACTIF,ETUDIANT,FIDELISE
71,6254.701405526459,9,2,2,2,0,1,2,2,2,ACTIF,CADRE,NOUVEAU
9,5139.020422136732,4,0,0,0,1,3,0,2,0,INACTIF,CADRE,NOUVEAU
88,3941.6966961434055,5,4,4,4,6,1,1,2,1,ACTIF,OUVRIER,FIDELISE
129,5111.336909159343,6,2,2,2,0,1,2,0,2,ACTIF,OUVRIER,RISQUE
236,3727.559312781188,6,5,0,3,7,0,0,2,1,INACTIF,OUVRIER,NOUVEAU
136,6037.322853367545,3,2,0,3,2,3,2,0,3,ACTIF,ETUDIANT,FIDELISE
216,5707.088277278786,3,0,1,0,7,2,1,2,2,INACTIF,CADRE,RISQUE
63,1175.5615581644133,5,8,3,3,5,4,2,2,1,ACTIF,ETUDIANT,RISQUE
139,5462.883988467865,7,4,1,4,3,1,3,1,0,ACTIF,ETUDIANT,RISQUE
81,7652.292625280026,6,1,3,1,6,1,2,1,1,INACTIF,OUVRIER,RISQUE
136,4701.7762955945,6,1,1,4,1,0,1,0,0,INACTIF,OUVRIER,NOUVEAU
163,4194.206455176876,4,8,4,0,6,0,4,2,0,ACTIF,OUVRIER,NOUVEAU
163,2744.5984537662953,7,0,1,1,1,0,2,0,3,INACTIF,ETUDIANT,NOUVEAU
33,1784.015916751191,4,9,4,3,4,3,3,1,1,ACTIF,OUVRIER,RISQUE
123,7162.698534126508,8,2,2,2,7,4,1,1,2,ACTIF,ETUDIANT,NOUVEAU
5,5137.043340841608,5,9,2,3,7,3,0,1,2,INACTIF,ETUDIANT,FIDELISE
234,7044.043124006846,5,6,1,4,0,0,4,1,2,ACTIF,ETUDIANT,RISQUE
231,8562.647489158939,4,0,2,4,4,0,2,0,2,ACTIF,CADRE,FIDELISE
41,7342.49536982069,5,1,0,0,7,1,1,2,1,INACTIF,ETUDIANT,RISQUE
28,4415.255357122409,2,5,4,2,4,3,3,0,3,INACTIF,OUVRIER,FIDELISE
135,5789.735329315111,3,8,3,2,1,3,3,2,2,INACTIF,OUVRIER,FIDELISE
201,4270.454269686164,7,8,4,1,3,4,1,1,2,INACTIF,CADRE,FIDELISE
72,4083.423074796674,5,7,1,1,2,3,3,0,0,ACTIF,OUVRIER,NOUVEAU
12,6185.630324805247,6,2,2,4,4,4,4,2,1,ACTIF,OUVRIER,NOUVEAU
162,3835.412233763655,7,1,2,0,5,2,0,2,0,ACTIF,OUVRIER,RISQUE
33,1081.696761822598,2,0,0,4,7,4,3,1,0,ACTIF,CADRE,NOUVEAU
48,3723.7042085452467,7,8,2,2,3,0,3,2,3,ACTIF,ETUDIANT,NOUVEAU
151,4886.237702625254,5,4,1,2,5,2,0,2,2,ACTIF,CADRE,NOUVEAU
62,8542.796995663844,5,2,1,4,4,1,4,0,2,INACTIF,CADRE,RISQUE
216,4518.125100257269,7,9,3,2,3,1,4,1,1,INACTIF,OUVRIER,RISQUE
37,6523.84818205855,6,9,4,1,0,1,4,1,0,ACTIF,OUVRIER,NOUVEAU
99,5163.383532075861,5,4,4,2,5,0,3,2,2,ACTIF,CADRE,RISQUE
172,7952.810287740768,0,2,4,1,2,1,3,2,3,ACTIF,ETUDIANT,RISQUE
104,7814.192770927917,7,8,3,3,1,4,4,1,0,INACTIF,CADRE,RISQUE
214,7852.350210479839,5,0,3,0,0,0,3,1,3,ACTIF,ETUDIANT,NOUVEAU
219,2032.0329411652947,5,0,3,0,7,3,2,1,3,INACTIF,OUVRIER,NOUVEAU
35,5913.448094489989,6,2,0,2,4,0,3,2,3,ACTIF,CADRE,FIDELISE
193,7017.8772002438955,8,5,3,0,4,0,4,2,2,INACTIF,ETUDIANT,FIDELISE
227,6263.077125178662,4,1,2,3,2,3,1,1,3,ACTIF,CADRE,FIDELISE
101,6773.192651643659,6,0,0,2,7,4,4,1,3,INACTIF,CADRE,RISQUE
175,5616.702008570955,4,7,2,1,6,2,1,2,2,INACTIF,OUVRIER,FIDELISE
206,4010.431586546946,1,9,4,3,6,3,3,2,2,INACTIF,ETUDIANT,FIDELISE
131,2105.8052300274962,3,8,1,3,5,0,3,2,2,ACTIF,ETUDIANT,RISQUE
1,4208.861142703049,4,9,4,0,5,1,1,0,1,ACTIF,ETUDIANT,RISQUE
5,10856.219747276784,5,0,3,1,7,3,4,1,0,INACTIF,ETUDIANT,NOUVEAU
218,4528.697647818656,4,2,1,4,2,3,0,0,0,ACTIF,ETUDIANT,FIDELISE
142,1581.2195478185122,5,4,4,3,2,2,0,0,1,INACTIF,OUVRIER,NOUVEAU
103,6965.298721458165,2,6,0,0,4,0,4,2,1,INACTIF,CADRE,RISQUE
27,7210.92001736529,2,9,3,3,4,1,3,1,1,INACTIF,OUVRIER,FIDELISE
137,8074.64878030428,5,3,4,1,1,1,1,2,2,INACTIF,CADRE,FIDELISE
207,6441.957007413561,5,5,1,1,2,2,1,2,3,ACTIF,ETUDIANT,FIDELISE
15,7191.203028933903,5,0,2,2,3,1,4,2,2,ACTIF,OUVRIER,NOUVEAU
90,9180.434269683981,6,3,4,4,6,4,4,2,3,INACTIF,CADRE,FIDELISE
42,4009.0530158757692,4,7,0,4,1,3,2,1,0,INACTIF,CADRE,NOUVEAU
124,3612.298589152565,9,4,1,0,3,3,1,1,3,INACTIF,CADRE,NOUVEAU
205,3310.8269208941424,7,7,4,4,6,1,2,2,1,ACTIF,ETUDIANT,RISQUE
179,4968.460827012033,2,0,2,1,0,1,3,0,0,INACTIF,OUVRIER,FIDELISE
63,8366.844839650337,3,9,3,4,2,1,1,2,3,ACTIF,CADRE,NOUVEAU
96,6556.13673549247,4,8,3,0,1,3,4,0,1,INACTIF,ETUDIANT,FIDELISE
231,6477.383905418436,6,3,3,3,5,1,4,0,3,ACTIF,OUVRIER,FIDELISE
52,1861.384142670553,7,8,1,4,6,4,3,2,3,INACTIF,CADRE,RISQUE
96,4113.626345527162,4,7,2,4,1,4,0,1,3,INACTIF,ETUDIANT,NOUVEAU
132,1828.684734275926,5,7,2,1,0,3,2,2,0,ACTIF,CADRE,NOUVEAU
222,7842.4915786430865,5,1,4,1,0,0,4,1,3,ACTIF,ETUDIANT,RISQUE
229,8671.292985771466,3,2,3,3,0,0,1,0,1,INACTIF,OUVRIER,NOUVEAU
151,7059.133454480763,3,9,1,2,6,0,1,1,3,INACTIF,CADRE,NOUVEAU
231,3526.42790852091,7,8,3,4,1,4,1,1,1,INACTIF,ETUDIANT,NOUVEAU
237,8464.04498723158,3,2,3,1,4,2,3,1,2,INACTIF,ETUDIANT,RISQUE
143,4993.49017994958,8,7,4,2,3,0,0,2,0,INACTIF,ETUDIANT,NOUVEAU
171,3071.081438494677,8,4,4,4,5,2,2,0,2,ACTIF,OUVRIER,FIDELISE
29,3571.1914907766154,5,6,4,4,5,3,1,0,2,INACTIF,ETUDIANT,RISQUE
36,4639.686728816327,5,3,0,2,3,4,1,1,0,ACTIF,CADRE,RISQUE
13,5599.157040969413,3,7,0,1,5,0,4,0,2,ACTIF,OUVRIER,RISQUE
160,5177.311576696413,3,3,1,3,0,4,0,1,1,ACTIF,CADRE,NOUVEAU
71,2674.6631636579455,6,4,1,4,5,3,4,1,1,ACTIF,ETUDIANT,RISQUE
187,7926.632818371284,5,0,4,0,4,4,3,1,1,INACTIF,ETUDIANT,NOUVEAU
86,5198.788161126314,4,9,2,0,4,1,3,1,1,INACTIF,CADRE,FIDELISE
28,4072.4922874586982,6,7,1,0,0,0,2,2,2,INACTIF,CADRE,RISQUE
66,7720.604723965528,3,6,0,3,2,4,3,1,0,ACTIF,OUVRIER,RISQUE
170,3133.1876234669376,12,4,0,4,1,4,2,0,2,INACTIF,ETUDIANT,RISQUE
45,2242.219632850971,1,5,3,1,7,4,4,2,0,ACTIF,OUVRIER,FIDELISE
62,8044.974893197478,6,0,4,1,6,3,1,0,0,INACTIF,ETUDIANT,NOUVEAU
185,9282.775699100677,1,7,2,3,2,0,1,2,2,INACTIF,CADRE,RISQUE
134,4575.807962697203,6,8,4,4,6,0,0,1,2,INACTIF,OUVRIER,FIDELISE
28,5408.0599841657095,1,4,0,2,6,1,3,2,1,INACTIF,ETUDIANT,NOUVEAU
28,3206.670570958193,4,9,2,2,4,1,0,0,0,ACTIF,CADRE,RISQUE
108,5510.985100486787,3,6,1,4,0,4,0,2,0,ACTIF,OUVRIER,NOUVEAU
44,4548.5894725376065,3,9,3,4,7,0,1,2,3,INACTIF,OUVRIER,RISQUE
84,5295.743119930002,5,3,0,1,1,0,3,1,0,INACTIF,OUVRIER,FIDELISE
30,6318.5167751944855,5,5,3,3,3,4,1,1,1,ACTIF,CADRE,NOUVEAU
190,3303.709043938307,5,1,4,3,5,2,0,2,0,ACTIF,OUVRIER,FIDELISE
75,4776.377321534865,9,3,2,1,4,0,3,1,3,ACTIF,ETUDIANT,RISQUE
128,1892.4371564436437,3,4,4,0,1,4,1,1,3,ACTIF,CADRE,FIDELISE
92,4790.025431773424,3,8,3,2,1,4,2,2,0,ACTIF,OUVRIER,NOUVEAU
217,5313.131858166001,6,8,0,4,2,2,2,0,1,ACTIF,CADRE,NOUVEAU
231,5957.964850122156,6,7,3,2,3,1,4,1,3,INACTIF,ETUDIANT,RISQUE
190,5979.153080726417,3,3,0,2,2,4,4,2,3,ACTIF,OUVRIER,NOUVEAU
225,7307.845501473712,7,5,3,3,2,0,3,2,3,ACTIF,CADRE,RISQUE
129,2420.6669614533603,4,6,4,1,2,1,4,2,2,ACTIF,CADRE,FIDELISE
121,2527.4459400994124,1,0,3,0,2,1,3,0,1,INACTIF,ETUDIANT,FIDELISE
27,6557.915872785041,7,0,1,0,4,1,0,0,1,INACTIF,ETUDIANT,FIDELISE
190,1422.0774459891682,7,3,4,1,3,4,2,0,2,INACTIF,CADRE,RISQUE
121,5866.600424209986,2,2,3,2,2,0,3,1,0,INACTIF,OUVRIER,FIDELISE
116,3139.4141208202122,5,9,3,1,7,2,0,2,3,ACTIF,OUVRIER,RISQUE
205,8645.629281834363,6,3,2,1,6,3,2,2,3,ACTIF,CADRE,FIDELISE
233,6000.904815455555,9,8,4,4,4,3,1,0,2,ACTIF,ETUDIANT,FIDELISE
3,5061.687960573877,3,1,2,4,6,1,0,1,0,ACTIF,OUVRIER,NOUVEAU
103,7955.441754278357,4,3,4,2,5,3,1,1,1,INACTIF,OUVRIER,FIDELISE
198,3373.1959868580984,10,6,0,3,4,3,4,2,0,INACTIF,ETUDIANT,FIDELISE
200,3753.180731824383,4,1,4,0,7,4,3,0,1,ACTIF,ETUDIANT,RISQUE
155,2977.090332689782,4,7,4,4,1,2,2,2,3,INACTIF,ETUDIANT,NOUVEAU
137,3769.921547302014,4,9,3,2,1,3,4,0,0,INACTIF,CADRE,RISQUE
62,5622.231218734776,7,3,1,1,0,2,0,0,1,ACTIF,CADRE,FIDELISE
165,6487.903743987441,8,8,4,4,7,3,4,2,0,INACTIF,CADRE,FIDELISE
225,7422.843370735085,6,0,2,1,4,1,1,0,0,ACTIF,ETUDIANT,NOUVEAU
51,1850.551906198522,6,6,1,1,6,1,1,0,0,INACTIF,CADRE,FIDELISE
234,5156.274027073417,3,0,4,4,0,2,3,0,2,ACTIF,ETUDIANT,RISQUE
172,3283.6709376183967,5,9,1,2,4,2,4,0,1,ACTIF,CADRE,RISQUE
152,5089.425817023798,6,8,0,0,2,2,2,1,1,ACTIF,CADRE,NOUVEAU
207,10168.32716025408,2,9,1,2,2,2,1,0,3,ACTIF,OUVRIER,FIDELISE
59,6083.72352400003,8,9,0,3,7,0,0,0,1,ACTIF,ETUDIANT,NOUVEAU
118,7298.929942296491,5,0,1,3,0,1,4,0,3,INACTIF,OUVRIER,FIDELISE
160,9421.382544322094,4,2,1,0,2,3,2,2,2,ACTIF,ETUDIANT,FIDELISE
96,7754.716486349516,4,6,2,3,7,0,2,1,3,ACTIF,CADRE,FIDELISE
216,4604.171040626031,2,0,2,1,7,2,2,0,3,INACTIF,CADRE,RISQUE
233,2948.3358268601237,5,4,3,3,2,3,2,0,2,INACTIF,CADRE,NOUVEAU
180,5439.711460958298,5,5,1,4,6,1,1,2,2,INACTIF,ETUDIANT,RISQUE
113,4364.588431562629,4,2,0,1,7,2,3,1,2,INACTIF,ETUDIANT,RISQUE
62,2450.9574267616517,2,5,1,2,1,4,4,1,0,ACTIF,CADRE,RISQUE
186,5981.849994578937,4,3,4,0,2,2,1,1,1,ACTIF,OUVRIER,NOUVEAU
52,6031.772596118666,4,5,0,4,1,3,3,0,0,INACTIF,CADRE,RISQUE
12,9038.233400526573,1,5,4,4,3,1,2,1,3,INACTIF,CADRE,RISQUE
39,4776.473862326373,8,3,3,0,4,2,0,2,2,INACTIF,CADRE,FIDELISE
130,6060.242777938898,4,0,4,3,1,1,2,2,2,ACTIF,CADRE,FIDELISE
131,4169.029170619569,10,2,3,0,5,0,3,0,0,ACTIF,OUVRIER,RISQUE
113,7246.338861386932,6,9,3,0,5,4,3,0,3,INACTIF,OUVRIER,NOUVEAU
101,5250.76440761974,3,6,3,3,1,0,0,0,1,INACTIF,OUVRIER,RISQUE
113,3154.8167822945147,6,1,4,2,1,4,1,0,3,ACTIF,ETUDIANT,NOUVEAU
184,5473.056356669684,4,3,3,0,5,0,0,2,2,ACTIF,CADRE,FIDELISE
81,6281.045795130002,3,5,3,3,4,1,2,0,3,INACTIF,ETUDIANT,NOUVEAU
187,6010.546774827126,2,4,2,4,4,1,4,0,0,ACTIF,CADRE,RISQUE
113,7591.793430991738,3,5,1,0,4,0,1,0,3,INACTIF,OUVRIER,FIDELISE
2,2603.8872559186207,5,4,3,0,5,3,4,0,0,INACTIF,CADRE,NOUVEAU
130,3814.514819970117,3,8,0,2,7,0,4,2,3,INACTIF,OUVRIER,RISQUE
220,6779.574663591075,4,1,0,2,2,2,1,1,3,ACTIF,CADRE,RISQUE
54,4049.462044077857,3,3,2,4,1,3,2,0,0,ACTIF,CADRE,NOUVEAU
87,5980.942498660414,6,0,4,2,4,1,3,2,0,ACTIF,OUVRIER,NOUVEAU
229,1000.0,5,6,4,4,7,0,2,1,1,INACTIF,CADRE,NOUVEAU
224,10931.893144625765,5,0,4,0,3,3,3,2,1,INACTIF,OUVRIER,RISQUE
225,4960.562936885328,4,5,3,3,5,2,3,1,3,INACTIF,OUVRIER,FIDELISE
129,7887.912519976557,4,9,4,2,4,4,1,2,2,INACTIF,CADRE,FIDELISE
147,4826.204348833018,6,9,4,4,6,1,1,0,2,INACTIF,OUVRIER,RISQUE
126,6329.397057461773,4,8,1,2,6,3,0,1,1,INACTIF,ETUDIANT,NOUVEAU
130,8483.839292690545,6,1,3,2,0,3,4,2,1,INACTIF,ETUDIANT,RISQUE
53,7831.612038416771,4,0,3,1,0,3,4,0,3,INACTIF,CADRE,RISQUE
172,5091.0900406295505,5,9,0,0,7,0,4,0,0,ACTIF,OUVRIER,RISQUE
218,5229.491349212615,5,2,0,2,1,1,4,1,0,INACTIF,ETUDIANT,RISQUE
160,7507.13312036657,4,5,1,3,1,1,0,2,0,INACTIF,ETUDIANT,FIDELISE
198,10166.4888085706,5,6,2,1,1,0,3,0,2,INACTIF,OUVRIER,NOUVEAU
160,5884.565348798083,3,7,3,4,6,0,0,2,2,ACTIF,ETUDIANT,RISQUE
